fold,date,y_true_class,y_true_price
3,2015-12-08,0,1081
3,2015-12-09,1,1071
3,2015-12-10,0,1072.5
3,2015-12-11,1,1068.25
3,2015-12-14,0,1061.5
3,2015-12-15,0,1075.25
3,2015-12-16,1,1049.4000000000001
3,2015-12-17,0,1062.5
3,2015-12-18,1,1078.75
3,2015-12-21,1,1074.9000000000001
3,2015-12-22,0,1070.0999999999999
3,2015-12-29,0,1060
3,2015-12-30,0,1082.25
3,2016-01-04,1,1077
3,2016-01-05,0,1091.4000000000001
3,2016-01-06,1,1106.3499999999999
3,2016-01-07,1,1101.8499999999999
3,2016-01-08,0,1085.4000000000001
3,2016-01-12,0,1088.1500000000001
3,2016-01-13,1,1088.4000000000001
3,2016-01-14,1,1093.75
3,2016-01-15,1,1086.25
3,2016-01-19,0,1101.75
3,2016-01-20,1,1096.5
3,2016-01-21,0,1096.25
3,2016-01-22,0,1106.5999999999999
3,2016-01-25,1,1116.25
3,2016-01-27,1,1114
3,2016-01-28,0,1111.8
3,2016-01-29,0,1126.5
3,2016-02-01,1,1128.5
3,2016-02-02,1,1132
3,2016-02-03,1,1156.3499999999999
3,2016-02-04,1,1150.3499999999999
3,2016-02-05,0,1209.5
3,2016-02-16,1,1210
3,2016-02-17,1,1210.0999999999999
3,2016-02-18,1,1211
3,2016-02-22,1,1221.3499999999999
3,2016-02-23,1,1250.75
3,2016-02-24,1,1236
3,2016-02-25,0,1226.5
3,2016-02-26,0,1234.9000000000001
3,2016-02-29,1,1236.5
3,2016-03-01,1,1239.2
3,2016-03-02,1,1250.25
3,2016-03-03,1,1277.5
3,2016-03-04,1,1267
3,2016-03-08,0,1246.4000000000001
3,2016-03-09,0,1266.5
3,2016-03-10,1,1264.75
3,2016-03-11,0,1242.75
3,2016-03-14,0,1232
3,2016-03-15,0,1228.5
3,2016-03-16,0,1266.5
3,2016-03-17,1,1252.0999999999999
3,2016-03-18,0,1252.5
3,2016-03-22,1,1217.5999999999999
3,2016-03-23,0,1226
3,2016-03-29,1,1236.25
3,2016-03-30,1,1237
3,2016-03-31,1,1231.25
3,2016-04-05,0,1221.4000000000001
3,2016-04-06,0,1242.0999999999999
3,2016-04-07,1,1254.75
3,2016-04-11,1,1254.5999999999999
3,2016-04-12,0,1245.75
3,2016-04-13,0,1234.3
3,2016-04-18,0,1252
3,2016-04-20,1,1249.25
3,2016-04-21,0,1243.25
3,2016-04-22,0,1238.9000000000001
3,2016-04-25,0,1241.7
3,2016-04-26,1,1247.4000000000001
3,2016-04-27,1,1256
3,2016-04-28,1,1289
3,2016-05-06,1,1265.25
3,2016-05-09,0,1262.8
3,2016-05-10,0,1276.8499999999999
3,2016-05-11,1,1279.25
3,2016-05-12,1,1265.9000000000001
3,2016-05-13,0,1285.75
3,2016-05-16,1,1277
3,2016-05-17,0,1272.9000000000001
3,2016-05-18,0,1246.25
3,2016-05-19,0,1254.2
3,2016-05-20,1,1245.9000000000001
3,2016-05-23,0,1236.8499999999999
3,2016-05-24,0,1220.5999999999999
3,2016-05-25,0,1223.8499999999999
3,2016-05-26,1,1216.25
3,2016-05-27,0,1214.5
3,2016-06-01,0,1212.4000000000001
3,2016-06-02,0,1240.5
3,2016-06-03,1,1244
3,2016-06-06,1,1241
3,2016-06-07,0,1263
3,2016-06-08,1,1280.8
3,2016-06-13,1,1287.1500000000001
3,2016-06-14,1,1283.3
3,2016-06-15,0,1310.75
3,2016-06-16,1,1290.7
3,2016-06-17,0,1281.8
3,2016-06-20,0,1272.5999999999999
3,2016-06-21,0,1264.8499999999999
3,2016-06-22,0,1262.1500000000001
3,2016-06-23,0,1315.5
3,2016-06-24,1,1324.55
3,2016-06-27,1,1309.7
3,2016-06-28,0,1321.5
3,2016-06-29,1,1320.75
3,2016-06-30,0,1350.75
3,2016-07-05,1,1366.25
3,2016-07-06,1,1356.7
3,2016-07-07,0,1354.25
3,2016-07-08,0,1357.0999999999999
3,2016-07-11,1,1342.4000000000001
3,2016-07-12,0,1342.75
3,2016-07-13,1,1323.5999999999999
3,2016-07-14,0,1327
3,2016-07-15,1,1330.9000000000001
3,2016-07-19,1,1315.9000000000001
3,2016-07-20,0,1321.1500000000001
3,2016-07-21,1,1320.75
3,2016-07-22,0,1313.1500000000001
3,2016-07-25,0,1323
3,2016-07-26,1,1329
3,2016-07-27,1,1341.75
3,2016-07-28,1,1342
3,2016-07-29,1,1349.6500000000001
3,2016-08-01,1,1363.75
3,2016-08-02,1,1358.9000000000001
3,2016-08-03,0,1362.75
3,2016-08-04,1,1340.4000000000001
3,2016-08-05,0,1336.8
3,2016-08-08,0,1341
3,2016-08-09,1,1347.7
3,2016-08-10,1,1352.2
3,2016-08-12,1,1344
3,2016-08-16,0,1350.05
3,2016-08-18,1,1346.4000000000001
3,2016-08-19,0,1335.9000000000001
3,2016-08-22,0,1342
3,2016-08-23,1,1327.25
3,2016-08-24,0,1321.3
3,2016-08-25,0,1318.75
3,2016-08-26,0,1318.1500000000001
3,2016-08-30,0,1309.25
3,2016-08-31,0,1309.5
3,2016-09-01,1,1324.7
3,2016-09-02,1,1337.25
3,2016-09-06,1,1348.3499999999999
3,2016-09-07,1,1343.4000000000001
3,2016-09-08,0,1330.8499999999999
3,2016-09-09,0,1321.75
3,2016-09-14,0,1313.8
3,2016-09-20,0,1326.0999999999999
3,2016-09-21,1,1338.6500000000001
3,2016-09-23,1,1340.5
3,2016-09-26,1,1327
3,2016-09-27,0,1322.5
3,2016-09-28,0,1318.0999999999999
3,2016-09-29,0,1261.05
3,2016-10-13,0,1251.75
3,2016-10-14,0,1254.8
3,2016-10-17,1,1258.2
3,2016-10-18,1,1269.05
3,2016-10-19,1,1271.6500000000001
3,2016-10-20,1,1265.55
3,2016-10-24,0,1269.4000000000001
3,2016-10-25,1,1270.5
3,2016-10-26,1,1266.25
